"ASV","s.low","s.high","index","stat","p.value","A_g1","A_g2","A_g12","B_g1","B_g2","B_g12","Taxon","Confidence"
"daa4e506bb07fb9c2c1c712454e1d335",1,0,1,0.389812841218393,0.035,0.838786362506732,0.161213637493268,1,0.181159420289855,0.0555555555555556,0.145833333333333,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__uncultured; g__uncultured","0.8956840"
"c5b4178c7505efbea7bd1b034943327c",1,0,1,0.509848206040655,0.001,0.969525315189099,0.0304746848109005,1,0.268115942028986,0.0185185185185185,0.197916666666667,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__uncultured; g__uncultured","0.9229688"
"349b5a705d4a1e551c134dc0bcdb67c2",1,0,1,0.603772263739349,0.002,0.824699190354253,0.175300809645747,1,0.442028985507246,0.0740740740740741,0.338541666666667,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Actinomarinales; f__uncultured; g__uncultured; s__uncultured_Actinobacteridae","0.9644010"
"b9c31194fb2ebca5c9d1ca235080db24",1,0,1,0.294883912309794,0.045,1,0,1,0.0869565217391304,0,0.0625,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__uncultured; g__uncultured","0.8867653"
"6d7bfb561e3d44134b60671aad6590d1",0,1,2,0.45133546692422,0.001,0,1,1,0,0.203703703703704,0.0572916666666667,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__uncultured; f__uncultured; g__uncultured; s__uncultured_forest","0.9282465"
"ff79766a5be14f3805fff18970dbf59d",0,1,2,0.757676760943659,0.001,0,1,1,0,0.574074074074074,0.161458333333333,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__uncultured; f__uncultured; g__uncultured; s__uncultured_forest","0.9143628"
"b5b29caa7fb80590e8125e2d3bd1df82",1,0,1,0.367189799984606,0.023,0.93031560956787,0.0696843904321303,1,0.144927536231884,0.0185185185185185,0.109375,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Iamiaceae; g__Iamia","0.9794876"
"417bea2cf29d1d775400d12958f0afbe",1,0,1,0.502471946261409,0.002,0.871049295890063,0.128950704109937,1,0.289855072463768,0.0555555555555556,0.223958333333333,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Iamiaceae; g__Iamia","0.9804903"
"e0c2b6a21531e55b3752ca84462dcd2d",0,1,2,0.430331482911935,0.001,0,1,1,0,0.185185185185185,0.0520833333333333,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia","0.9919988"
"041d08b38854e55b200c71da8a7f7d54",0,1,2,0.716717954469381,0.001,0.00932250650093508,0.990677493499065,1,0.0072463768115942,0.518518518518518,0.151041666666667,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia","0.9287728"
"89c25ffa70c9ac6da4f26ac7a8caeeec",0,1,2,0.509175077217316,0.001,0,1,1,0,0.259259259259259,0.0729166666666667,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia","0.9975126"
"fb35e1f8566a3856bfd8799e9c6021ee",1,0,1,0.329690236697893,0.029,1,0,1,0.108695652173913,0,0.078125,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia","0.9921601"
"8d1397cfeaad2b87b73c6177f1fcb4a2",0,1,2,0.7162812813358,0.001,0.0105293144438936,0.989470685556106,1,0.0072463768115942,0.518518518518518,0.151041666666667,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia","0.8754375"
"c22e6d5b6ebc2fb5697596ff1fd17084",0,1,2,0.680413817439772,0.001,0,1,1,0,0.462962962962963,0.130208333333333,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__uncultured; f__uncultured; g__uncultured","0.9447850"
"32d4150c84f5ca5684088fe7ff2b1fff",0,1,2,0.835739142442537,0.001,0.00745170085864031,0.99254829914136,1,0.0289855072463768,0.703703703703704,0.21875,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia","0.9949857"
"c1a033f51e9a39aebb7e1220728e9969",0,1,2,0.699835596935207,0.001,0.0204602745246847,0.979539725475315,1,0.0797101449275362,0.5,0.197916666666667,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__IMCC26256; f__IMCC26256; g__IMCC26256; s__actinobacterium_BGR","0.8310018"
"fcc43422d0ead31685f4444a81374f3c",0,1,2,0.45133546692422,0.001,0,1,1,0,0.203703703703704,0.0572916666666667,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__IMCC26256; f__IMCC26256; g__IMCC26256","0.9943222"
"695bbd88d3df4089543f6620dd5ef712",0,1,2,0.352548621564012,0.013,0.161038918674876,0.838961081325124,1,0.0579710144927536,0.148148148148148,0.0833333333333333,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales","0.8398139"
"688a1ef05751e5c6514d99c6a783adfd",1,0,1,0.318511028635303,0.027,1,0,1,0.101449275362319,0,0.0729166666666667,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales","0.9319675"
"57fe967b427744666549f2fd123ba405",0,1,2,0.59317101400174,0.001,0,1,1,0,0.351851851851852,0.0989583333333333,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales","0.9724796"
"5219894afa9af9aa4d56e5a51e14c0b5",0,1,2,0.508197879936283,0.001,0.179628552983908,0.820371447016092,1,0.13768115942029,0.314814814814815,0.1875,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae","0.7754844"
"8114790c89cb4c05e031fcbefb393635",1,0,1,0.490256263633148,0.007,0.896445031252752,0.103554968747248,1,0.268115942028986,0.0555555555555556,0.208333333333333,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Microtrichaceae; g__uncultured; s__uncultured_bacterium","0.7633873"
"e68fa22d0e04dbcbbe65f661a38ae20c",1,0,1,0.309115124210906,0.047,0.941871291585536,0.0581287084144644,1,0.101449275362319,0.0185185185185185,0.078125,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Actinomarinales; f__uncultured; g__uncultured","0.8058439"
"98cc44721d651149653e27a91ca88cfb",1,0,1,0.573718592165283,0.001,0.857039946669128,0.142960053330872,1,0.384057971014493,0.0555555555555556,0.291666666666667,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Actinomarinales; f__uncultured; g__uncultured","0.9747715"
"e680d419802f5528565202affa3d0808",1,0,1,0.411187937155075,0.039,0.804566265977059,0.195433734022941,1,0.210144927536232,0.037037037037037,0.161458333333333,"d__Bacteria; p__Actinobacteriota","0.9599095"
"78d807c30134405510f35034607ff82f",1,0,1,0.399274704752345,0.007,1,0,1,0.159420289855072,0,0.114583333333333,"d__Bacteria; p__Actinobacteriota","0.8844872"
"2e91f24891b7cbdd1a02c7e3e8e0724e",1,0,1,0.318511028635303,0.033,1,0,1,0.101449275362319,0,0.0729166666666667,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Actinomarinales; f__uncultured; g__uncultured; s__uncultured_soil","0.7916161"
"9f0f67bf512de649724c811485f7e094",1,0,1,0.479142316868766,0.018,0.772723796448364,0.227276203551636,1,0.297101449275362,0.0555555555555556,0.229166666666667,"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Actinomarinales; f__uncultured; g__uncultured; s__uncultured_soil","0.9483015"
"7513f0419f05c39587534b0d7757e028",1,0,1,0.402153171798002,0.007,0.929931248126363,0.0700687518736367,1,0.173913043478261,0.0185185185185185,0.130208333333333,"d__Bacteria; p__Cyanobacteria; c__Vampirivibrionia; o__Obscuribacterales; f__Obscuribacteraceae","0.7561734"
"f5dbb000e3b6c7ae043931fa05df8cf0",0,1,2,0.427410346675579,0.001,0.0135301359951709,0.986469864004829,1,0.0072463768115942,0.185185185185185,0.0572916666666667,"d__Bacteria; p__Cyanobacteria; c__Vampirivibrionia; o__Obscuribacterales; f__Obscuribacteraceae","0.9739794"
