"ASV","Taxon","Confidence"
"058ec635b380ec747c1203af82f9c9a5","d__Bacteria; p__Desulfobacterota; c__Syntrophia; o__Syntrophales; f__Syntrophaceae; g__Syntrophus","0.9753574"
"e3fa2cb46dcd75ca6bdba66b890c2ab2","d__Bacteria; p__Desulfobacterota; c__Syntrophia; o__Syntrophales","0.9813727"
"0b6e40cf1f96faec8998b45e6f2460b7","d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Phaselicystidaceae; g__Phaselicystis; s__uncultured_Polyangiaceae","0.9657882"
"989b9a4248f30c8cbb14ebc0e7285dbb","d__Bacteria; p__Desulfobacterota; c__Syntrophobacteria; o__Syntrophobacterales; f__uncultured; g__uncultured","0.9284388"
"3fbc2e3dce479e2dc3d15a8512f42232","d__Bacteria; p__Desulfobacterota; c__Syntrophobacteria; o__Syntrophobacterales; f__uncultured; g__uncultured; s__Deltaproteobacteria_bacterium","0.7668246"
"dd252c9ce161049fb628969b079e7cc4","d__Bacteria; p__Desulfobacterota; c__Syntrophobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__Syntrophobacter; s__uncultured_soil","0.8068453"
"b67098669b58de93864f3363bb8d5fa4","d__Bacteria; p__Desulfobacterota; c__uncultured; o__uncultured; f__uncultured; g__uncultured; s__uncultured_Dongia","0.9034313"
"ac13eb8b24170fc15cccadf266e19a7c","d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales","0.9428128"
"bf8498ef818182a61b2e720bd36a767a","d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales","0.9299982"
"ba15f7b78aabf24bc3bd7d535d2d9f4c","d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales","0.8724285"
"eadf7997718808681f6e71f130b476f5","d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Myxococcaceae; g__P3OB-42; s__metagenome","0.8379518"
"f6f485cd1fff06245219f0c1af2869a0","d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Anaeromyxobacteraceae; g__Anaeromyxobacter","0.9486140"
"d0edbc0ec86631e2d9b97468806e9ba8","d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Anaeromyxobacteraceae; g__Anaeromyxobacter; s__uncultured_soil","0.8753396"
"91ef988959646a7612cea6160cb4b69a","d__Bacteria; p__MBNT15; c__MBNT15; o__MBNT15; f__MBNT15; g__MBNT15; s__uncultured_prokaryote","0.9594362"
"80e271513d8228f4e169c0d4386873e0","d__Bacteria; p__NB1-j; c__NB1-j; o__NB1-j; f__NB1-j; g__NB1-j","0.9020894"
"417408c4d77dee4bb831fb399059cc29","d__Bacteria; p__Desulfobacterota; c__Desulfomonilia; o__Desulfomonilales; f__Desulfomonilaceae; g__Desulfomonile","0.9978232"
"ee3843e9541a93b4fb78115be22fa2b0","d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Desulfuromonadia; f__Desulfuromonadaceae; g__Desulfuromonas","0.7867370"
"212f3fc79d8300c402ea352e5901ba82","d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Desulfuromonadia","0.8067600"
"07701824c60901cb79ce9b34bd96fbaf","d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales; f__Geobacteraceae","0.7324110"
"6e520d98ccb0afbfbe97342afa0defe7","d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia","0.9832560"
"01ddc43b08fa5689f5baeddb0cfafd58","d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales; f__Geobacteraceae","0.8217713"
"bb9990f8aa37ef15f0f8b839f1ea5ef1","d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales; f__Geobacteraceae","0.9228747"
"7117ab2ab175d8e4b14fe78128159cf4","d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales; f__Geobacteraceae","0.9947224"
"76f291c4fb12654fd91e9d1172736a70","d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales; f__Geobacteraceae; g__Citrifermentans","0.9518529"
"80705f648aa643dbf5dfe32f99ebe2f2","d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales; f__Geobacteraceae","0.9927626"
"029cd6946af5c0edc5c87f14ebbcc3c7","d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales; f__Geobacteraceae; g__uncultured","0.8385792"
"79d67684d7adc2fff7413f67012de499","d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales; f__Geobacteraceae","0.9805965"
"842580a40d544da8ede40626d0e81a26","d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales; f__Geobacteraceae","0.7688587"
"63108391f9518f5665f4c2dadc1db65a","d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales","0.9599963"
"ff59482b48af554f9276d0b9477f95ea","d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales; f__Geobacteraceae; g__Geobacter","0.9123876"
"5d0fed81048d1e7f75921283cf267c4e","d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales","0.9380183"
"af246e901d275c7e87b263e1979dcf3b","d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales; f__Geobacteraceae; g__Citrifermentans","0.8688941"
"eeb7dda3ce9791d278b4d845bd90d6e3","d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__Haliangium; s__uncultured_Myxococcales","0.9008101"
"432655e56a8e07640c5a6b6965c602e6","d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__Haliangium; s__uncultured_soil","0.9713060"
"ffe7e40e20f507a3c1a0776270632ced","d__Bacteria; p__Desulfobacterota; c__Desulfobulbia; o__Desulfobulbales; f__Desulfurivibrionaceae; g__Desulfurivibrio","0.9981973"
"e0addb6c0fa65f4de0034207ce3e3597","d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfosarcinaceae; g__Desulfatirhabdium","0.9968194"
"33fde54a8bef5dc1d7c20a75f0da6bda","d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfosarcinaceae","0.8980659"
