"ASV","Taxon","Confidence"
"00fe0cc7cf468bc22a98ed38d803172e","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter","0.7723266"
"278ea8876a312f41bd44773dbd199ab4","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter","0.9969829"
"0a3cd548cc189dc7fb59bae7bbb2b806","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter","0.9980409"
"7e72989a1bd92651dc54cd34bf44f81e","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter","0.9786230"
"3a17c273d9d658b87680b58110ef37b8","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter","0.9887746"
"98123916052dff7ec491aebd28340ec1","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter","0.8081474"
"7b116a1c82c665cb8640ec02147ee4d2","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Bryobacterales; f__Bryobacteraceae; g__Bryobacter; s__uncultured_Holophaga","0.9647408"
"fb609b2068cb440119da3ad8e40b2d60","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae","0.9942569"
"01814cb76e1cb680c411c98b9c4a3db5","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__TSBb06; f__TSBb06; g__TSBb06; s__uncultured_bacterium","0.7570042"
"4a2195a22e99986d97cfb954c77aa0ad","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae","0.9986770"
"ad43bcf75c302b8bf02069ad6ac88eb1","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1)","0.9999604"
"79922b3e0e6793d5b9f6bbf4767aee5b","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1)","0.9999454"
"022cb197c190b7d91e9ab70dfea209dc","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1); g__Acidipila; s__uncultured_bacterium","0.7069306"
"d3c3ec418eb6825cc7247bd600504cc2","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1)","0.9721137"
"d8b8c97ae95963220537802af1878dc3","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1)","0.9975013"
"2a2b5e1db419dd395719afde1c8ddccc","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1); g__Occallatibacter","0.9776826"
"b48a2d934dd62a7b3e2e1896a705eb49","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1); g__Occallatibacter","0.9674807"
"4ed91d931cafdca8362e8bfe1e90dab3","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1); g__Occallatibacter","0.9846537"
"0ec829449a903afafb3c0cfc34003aa6","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1)","0.9998831"
"0a80cc008bcc732ac16ebb08f813b3b8","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1); g__Granulicella","0.7480203"
"1fee9ca6c607256c30755b057c869be7","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Koribacteraceae; g__Candidatus_Koribacter","0.8579152"
"59132cd8863c98191c7f7e78b6c2d991","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured; s__uncultured_forest","0.9301189"
"b217bff49333f8e5802e88e2efe9f237","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured; s__uncultured_forest","0.8416945"
"dd509ea2a04c19d2839c2b6b6fc656fa","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured; s__uncultured_forest","0.9375331"
"b51a6b1c3b0235e86a34f856e2b8e1a8","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured","0.9821577"
"d1cc0ac18a10a6fb870606b3732ff53b","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured","0.9599103"
"866cf92895daf998b3d90d9553e3b0dc","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured; s__uncultured_forest","0.8630284"
"a53cb0570545d2b938aa1e234b7177e6","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured; s__uncultured_Candidatus","0.9932887"
"89cc0867fe65016889d75257eb4bf8e9","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured","0.9940778"
"b027e359f9b9bbccfae7367a99e44473","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured","0.9568611"
"a8b008adc80461e3e6c4a485934329c2","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Koribacteraceae; g__Candidatus_Koribacter","0.9816846"
"c3cf68501a672638edd6f529f8ca1f09","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria","0.9945576"
"221c33fa4bc0bca4ab7995d441f1c4b7","d__Bacteria","0.9686146"
"22f0602dcba346b530c6c5023f7da037","d__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Ktedonobacterales; f__Ktedonobacteraceae; g__HSB_OF53-F07","0.9993131"
"fb8b5dc842d9583de2c05ee7f7363c93","d__Bacteria; p__Armatimonadota; c__Fimbriimonadia; o__Fimbriimonadales; f__Fimbriimonadaceae; g__Fimbriimonadaceae; s__uncultured_Armatimonadetes","0.7733761"
"35086522da12cf5a483ec851bec4ff27","d__Bacteria; p__Armatimonadota; c__Fimbriimonadia; o__Fimbriimonadales; f__Fimbriimonadaceae; g__Fimbriimonadaceae","0.9945728"
"5bc87148868b482456c328074de34e04","d__Bacteria; p__WPS-2; c__WPS-2; o__WPS-2; f__WPS-2; g__WPS-2","0.9964136"
"bc75d0f75c196cbdae2516f0e80dc455","d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__Pedosphaeraceae","0.9231467"
"b0fea76ea44f3f118882546e95976746","d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__uncultured; s__bacterium_enrichment","0.7219744"
"07d2bbcd738d43b5eb3e0bb7deb31da8","d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__Pedosphaeraceae","0.7753431"
"b64fcb0010f3a5951932c54534c84dc2","d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__ADurb.Bin063-1","0.9895148"
"555e633afeb9b5dfe5d5888cbb8a99ae","d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__uncultured","0.7265936"
"d76d0c95a048fb6a4e7b0a5044460dd4","d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Chthoniobacter","0.9924554"
"8ab3cd57cb5e6be08dbeddb1791347bc","d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__uncultured; s__uncultured_bacterium","0.9338938"
"a0a87c6c5d954dcdc934cb3ebfdff448","d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae","0.9996420"
