"Domain","Phylum","Class","Order","Family","Genus","Species","Confidence","ASV"
"d__Bacteria"," p__Actinobacteriota"," c__Thermoleophilia"," o__Solirubrobacterales"," f__Solirubrobacteraceae"," g__uncultured",NA,"0.9871201","0a41bf6851bcce501e9fb0c8806e876d"
"d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__WD260"," f__WD260"," g__WD260"," s__uncultured_bacterium","0.7233515","7b0d6970e21ed778b162be105e626557"
"d__Bacteria"," p__Acidobacteriota"," c__Acidobacteriae"," o__Acidobacteriales"," f__Acidobacteriaceae_(Subgroup_1)"," g__Occallatibacter",NA,"0.9846537","4ed91d931cafdca8362e8bfe1e90dab3"
"d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Frankiales"," f__Acidothermaceae"," g__Acidothermus",NA,"0.9844033","6b6af0c4ef7dc65b8c044a370146ada0"
"d__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Beijerinckiaceae"," g__Roseiarcus",NA,"0.9987564","1d9fd315edccf1f2541d8b0a589ff1e9"
